hospitalname,address1,city,hospitaltype,hospitalowner
COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,Acute Care Hospitals,Voluntary non-profit - Other
COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,Acute Care Hospitals,Voluntary non-profit - Other
COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,Acute Care Hospitals,Voluntary non-profit - Other
COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,Acute Care Hospitals,Voluntary non-profit - Other
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,Acute Care Hospitals,Proprietary
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,Acute Care Hospitals,Government - Hospital District or Authority
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
SUMMIT HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Acute Care Hospitals,Government - State
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
