gender,city,state,maritalstatus,haschild
M,ARAPAHOE,NC,S,N
F,CIBECUE,AZ,S,N
M,MIDLAND,OR,S,Y
F,LYSITE,WY,M,N
F,GULLIVER,MI,M,N
F,GRADY,AR,S,N
M,CINCINNATI,OH,S,Y
F,MOUNT HOOD PARKDALE,OR,M,N
M,PEARLAND,TX,M,N
M,OAK RIDGE,TN,M,Y
F,JENKINSVILLE,SC,M,N
M,PEABODY,MA,M,N
F,HONOLULU,HI,M,N
M,BOISE,ID,M,Y
M,LINGO,NM,S,N
M,WILMINGTON,DE,M,Y
F,NORTH FORK,ID,M,N
F,BOLTON,MA,M,N
F,HOUSTON,TX,S,Y
M,PINELAND,SC,M,Y
M,RIVERDALE,GA,M,Y
M,PETERSON,AL,S,Y
F,LANAI CITY,HI,S,Y
M,LYNDONVILLE,VT,M,N
F,TULSA,OK,S,Y
F,STARK CITY,MO,S,N
M,SENECA,WI,M,N
M,KNOXVILLE,TN,S,Y
F,MAPLE PLAIN,MN,S,N
F,MALTA,ID,M,N
M,LAFAYETTE,LA,S,N
M,ORANGEBURG,NY,S,Y
F,ROBERTSON,WY,M,N
F,JAMAICA,NY,S,N
M,KRESS,TX,S,Y
F,BLAIR,NE,S,N
M,ADJUNTAS,PR,M,Y
F,MARNE,IA,M,N
M,SNOHOMISH,WA,M,N
F,SCOTTVILLE,NC,S,N
F,AMSTON,CT,M,N
M,MEDFORD,MA,S,Y
M,NEW PROVIDENCE,IA,M,Y
F,HORACE,ND,S,N
F,SALINAS,PR,M,Y
F,WAYNESBORO,TN,M,N
M,MOLINE,KS,S,Y
M,BOAZ,KY,M,N
F,HENRYETTA,OK,M,N
M,HOLUALOA,HI,S,N
F,NEWPORT CENTER,VT,M,N
M,DEARY,ID,S,Y
F,CROTON,OH,M,Y
M,BALTIMORE,MD,M,N
M,IOLA,KS,S,N
M,GRASS VALLEY,OR,S,Y
F,JACKSONVILLE,FL,M,N
M,ALEXANDRIA,VA,M,N
F,CEDAR FALLS,IA,M,N
F,WEST LEBANON,IN,M,N
M,WESTTOWN,PA,S,N
F,AKIACHAK,AK,S,Y
M,OLYMPIC VALLEY,CA,M,N
F,OJO CALIENTE,NM,M,Y
M,HOONAH,AK,S,Y
F,TRENT,TX,M,N
M,MILLIKEN,CO,M,Y
F,ROCKFORD,IL,M,Y
F,SAN ANTONIO,TX,S,N
F,MC DONALD,TN,M,N
M,SALT LAKE CITY,UT,M,N
F,WALKER VALLEY,NY,S,N
M,AVONDALE,PA,M,Y
M,VOLGA,IA,M,N
F,OAKLAND,MD,S,Y
M,BUFORD,WY,M,N
F,PERRY,OH,S,Y
M,WEST PALM BEACH,FL,S,Y
M,BATH,MI,M,Y
M,HIGH SPRINGS,FL,M,Y
M,FROMBERG,MT,S,Y
M,FORESTDALE,RI,S,Y
F,HAGERSTOWN,MD,M,N
M,WASHINGTON,DC,S,Y
M,EDGAR,WI,M,Y
M,KENNETT,MO,M,Y
F,COTTONTON,AL,M,Y
M,INCLINE VILLAGE,NV,S,Y
F,MARSHALL,IL,M,Y
M,ARNETT,WV,S,Y
F,PARIS,AR,S,N
F,WONALANCET,NH,S,Y
M,SMITHVILLE,MS,S,Y
M,VICKSBURG,MS,M,Y
M,HOUSTON,TX,M,N
M,CENTERPORT,NY,S,Y
F,TOTOWA,NJ,S,Y
M,SANTAQUIN,UT,M,Y
M,UNIVERSAL CITY,TX,M,Y
M,SALT LAKE CITY,UT,M,Y
M,SPRINGFIELD,MA,M,N
M,BRADFORD,IN,S,N
F,THOMASVILLE,AL,M,N
F,WASHINGTON,DC,S,Y
F,LAS VEGAS,NV,S,Y
M,HARTFORD,CT,M,Y
F,ENFIELD,NH,M,Y
M,CRAIG,CO,S,Y
M,CUMMAQUID,MA,M,Y
F,OAK CITY,UT,S,N
M,MYRTLE BEACH,SC,S,N
M,LANSING,IA,M,Y
F,GOSHEN,MA,S,N
M,LOS ANGELES,CA,S,N
F,TAMWORTH,NH,M,N
F,MOROVIS,PR,M,Y
M,CASTLEWOOD,SD,S,N
F,NEGREET,LA,S,Y
F,CLARK,CO,M,Y
F,SEBRING,FL,S,N
M,ROBBINSVILLE,NC,M,N
M,JEANERETTE,LA,S,Y
F,NATCHEZ,MS,M,N
F,HOLMES BEACH,FL,S,Y
F,RAINELLE,WV,S,Y
M,HONEYVILLE,UT,M,N
M,SHELBY,NE,M,N
M,ANDOVER,MA,S,Y
M,ENCAMPMENT,WY,S,Y
M,TRADE,TN,M,N
M,LINWOOD,NC,M,N
M,COALMONT,IN,M,N
M,WELDA,KS,S,N
F,CHARLESTOWN,RI,M,Y
M,DALLARDSVILLE,TX,M,N
F,PROCTOR,MT,M,Y
F,CASCADE,ID,S,Y
F,LEWISTON,MN,M,Y
F,GREENVILLE,RI,S,Y
M,LAUREL,IA,M,N
M,TREGO,MT,M,Y
F,DEADWOOD,OR,M,N
M,MOLT,MT,M,N
M,OSSIAN,IA,S,N
M,MECHANICSVILLE,VA,M,N
F,MANVEL,ND,S,Y
M,BOWERSTON,OH,S,N
F,TRUJILLO ALTO,PR,S,N
F,BIRMINGHAM,AL,S,Y
M,FONDA,IA,S,Y
M,KANSAS CITY,MO,M,N
M,MONTPELIER,VT,S,Y
F,MIDLOTHIAN,VA,M,N
M,THORNTON,CO,S,Y
F,HOUSTON,TX,M,N
F,ORANGEBURG,SC,M,Y
F,ARVILLA,ND,M,N
F,SOMERSET,MA,M,N
M,LITTLE ROCK,AR,M,N
M,FLINT,TX,M,Y
M,CANTON,OH,S,N
F,WINSTON-SALEM,NC,S,N
F,FAIRDALE,ND,S,Y
M,BLACKSTOCK,SC,S,Y
F,TURTON,SD,M,Y
F,CLARKSBURG,IN,M,N
F,BRADFORD,ME,M,N
M,SAN DIEGO,CA,M,Y
F,CHUGWATER,WY,M,Y
M,INDIAN,AK,S,N
F,LAKE HARBOR,FL,M,N
F,CROTON,OH,S,N
M,LOS ANGELES,CA,M,N
M,MULLIKEN,MI,M,N
M,JONESVILLE,VT,S,N
F,LUXORA,AR,S,Y
M,COUDERAY,WI,S,N
F,LARAMIE,WY,S,N
F,CENTRAL FALLS,RI,M,Y
F,NORTH,SC,S,N
M,SANDOWN,NH,M,Y
M,NEW HAVEN,CT,M,Y
F,CLAYTON,ID,S,N
F,MEDON,TN,S,N
F,BOWERSVILLE,OH,M,Y
F,HANKINS,NY,M,Y
M,MERIDIAN,ID,S,N
F,SMILAX,KY,M,N
F,LITTLE ROCK,SC,S,N
M,GUIDE ROCK,NE,S,N
F,LA CROSSE,KS,M,Y
M,MONTPELIER,VT,M,N
M,NEW HAVEN,WV,M,N
F,GONZALEZ,FL,M,Y
M,LYMAN,WY,M,N
F,ROLLA,ND,S,Y
M,PENNSBORO,WV,S,Y
M,KNOXVILLE,TN,M,Y
F,LIBERAL,KS,S,Y
F,TAFTVILLE,CT,M,N
M,MORONI,UT,S,Y
M,DEADWOOD,SD,S,Y
M,SAN JUAN,PR,M,Y
M,EASTLAKE,CO,M,N
F,PRUDHOE BAY,AK,S,N
M,WYARNO,WY,S,N
M,ASPERS,PA,S,N
F,GROSVENOR DALE,CT,S,N
F,FERRYVILLE,WI,S,N
F,LANGLEY,WA,M,N
M,ALAMOGORDO,NM,M,Y
F,ANCHORAGE,AK,M,N
F,MOWRYSTOWN,OH,M,N
M,PORT SAINT LUCIE,FL,M,Y
M,PLAINFIELD,MA,M,N
F,ALMA,MO,S,Y
M,PROVIDENCE,RI,S,N
F,CLAREMONT,NH,S,Y
M,BOSQUE,NM,S,N
F,BARNARD,VT,S,Y
F,WATERLOO,IA,M,N
M,GREENBACK,TN,S,N
M,ASHLAND,MT,S,N
F,CRANSTON,RI,S,Y
F,MURFREESBORO,TN,M,N
M,MODOC,IN,M,Y
F,SAINT GABRIEL,LA,M,N
F,HONOLULU,HI,M,Y
M,SAUQUOIT,NY,S,Y
F,NEWARK,MO,M,Y
F,MODOC,IN,M,Y
F,OUTING,MN,M,N
F,RUTH,MI,S,N
F,DENVER,CO,M,Y
M,WEST LAFAYETTE,OH,M,N
M,WASTA,SD,M,Y
F,AVERILL,VT,M,N
F,BLUE HILL,NE,M,N
F,CLINTON TOWNSHIP,MI,S,Y
M,SANFORD,FL,S,Y
M,WALLINGFORD,CT,M,Y
M,KINGSTON,RI,S,N
F,LITTLE ROCK,AR,S,Y
M,HONEY BROOK,PA,S,N
F,STRASBURG,ND,S,N
M,PORTLAND,ME,M,Y
M,NEWFIELDS,NH,S,N
F,NASHVILLE,IN,M,Y
F,UNION CHURCH,MS,S,Y
F,RODERFIELD,WV,M,N
M,VANCEBORO,ME,M,N
F,SHELTON,WA,S,Y
M,OOKALA,HI,M,N
M,WHITINGHAM,VT,S,Y
F,MAUD,OK,M,Y
M,SEWARD,AK,M,Y
M,NONDALTON,AK,S,N
F,TATUM,SC,M,Y
M,ABBEVILLE,LA,S,Y
M,MOORESVILLE,NC,M,N
M,NORTH LAS VEGAS,NV,S,N
F,BENTON,LA,M,N
F,COLORADO SPRINGS,CO,S,Y
F,SENECA,SC,M,Y
F,EDGELEY,ND,S,N
F,MIDDLEBURG,OH,M,N
M,BOUNTIFUL,UT,S,Y
M,BUNKER HILL,WV,S,Y
M,FORT STANTON,NM,S,N
M,SUTHERLAND,NE,S,N
M,ELIM,AK,M,Y
F,PHOENIX,AZ,S,N
M,MILLEDGEVILLE,GA,S,Y
F,HYGIENE,CO,M,Y
F,DIETRICH,ID,M,Y
M,EAGLE NEST,NM,S,N
M,SALT LAKE CITY,UT,M,N
M,MONTICELLO,KY,S,Y
F,PIRTLEVILLE,AZ,M,N
F,SPRINGVIEW,NE,S,N
M,WAKPALA,SD,S,Y
M,VIRGINIA BEACH,VA,M,N
M,EXCEL,AL,M,N
F,ARENZVILLE,IL,M,N
F,MOUNT VERNON,VA,M,Y
M,CHESTER,NH,M,N
M,MC LEOD,MT,M,N
M,WASHINGTON,DC,S,Y
M,GOREE,TX,S,N
M,ENGLEWOOD CLIFFS,NJ,M,Y
M,TAMAROA,IL,M,Y
M,VAIL,AZ,M,N
M,TWO RIVERS,AK,S,Y
F,HYATTSVILLE,MD,S,Y
M,MARTHA,KY,S,Y
F,ETHEL,MS,S,N
M,PORTSMOUTH,RI,M,Y
M,DENVER,NY,M,Y
F,TOBACCOVILLE,NC,S,Y
M,KIMBERLY,ID,S,N
M,OLD MONROE,MO,M,N
F,WESTPORT POINT,MA,M,N
F,HOT SPRINGS NATIONAL PARK,AR,S,N
M,PIEDMONT,WV,S,Y
M,POLSON,MT,M,N
F,WASHINGTON,DC,S,N
M,BETHLEHEM,PA,M,Y
M,NORTH LAS VEGAS,NV,S,Y
M,QUINWOOD,WV,M,Y
M,EASTMAN,WI,M,N
F,CHARLESTON,AR,S,Y
F,JEFFERSON,ME,S,Y
F,MIDLOTHIAN,VA,S,Y
F,HUNTINGTON,WV,S,N
M,ELKTON,MD,S,N
M,SPRING GLEN,PA,S,Y
F,GILLETTE,WY,S,Y
F,NETAWAKA,KS,M,N
M,WEST SWANZEY,NH,M,N
M,MONROE,CT,S,N
F,RUIDOSO,NM,S,Y
F,LAUREL,MS,M,Y
M,INDIANAPOLIS,IN,S,N
F,ATLANTA,GA,M,Y
M,MOZELLE,KY,S,N
M,VADITO,NM,S,N
F,MAGNA,UT,S,Y
M,RUSHVILLE,IN,M,N
F,EAST BERNSTADT,KY,S,Y
M,DRENNEN,WV,S,N
M,MATTAWA,WA,M,N
F,FRANKFORT,SD,M,Y
F,ALACHUA,FL,M,Y
F,KONGIGANAK,AK,M,N
M,NEWPORT,RI,S,N
F,ALBANY,GA,M,Y
M,BIRMINGHAM,AL,M,N
F,STRATTON,ME,M,Y
M,GUNPOWDER,MD,S,Y
F,CORNWALL,CT,S,Y
F,ALMONT,MI,S,N
F,WASHINGTON,DC,M,N
F,SOUTH GIBSON,PA,S,Y
F,DAVIS,NC,M,N
F,ARNOLD,KS,M,Y
M,WICHITA,KS,S,Y
M,STRANG,OK,M,N
M,SCOTLAND,PA,M,N
M,SOUTH FULTON,TN,S,N
F,WARM SPRINGS,OR,M,N
F,CUMBERLAND,MD,S,N
F,HYRUM,UT,M,Y
M,QUARTZSITE,AZ,M,N
F,PINELAND,FL,M,Y
F,AWENDAW,SC,S,Y
F,HENDERSON,NV,S,N
M,IOTA,LA,M,N
M,PLUMMER,ID,M,N
M,SAN DIEGO,TX,S,N
M,ILWACO,WA,M,N
M,ORLEANS,VT,S,N
F,LAMAR,CO,S,Y
M,SAINT CLOUD,MN,S,Y
M,SHILOH,NC,S,Y
M,READING,VT,S,Y
M,KALAHEO,HI,M,N
F,NEWARK,DE,M,Y
F,SHIRLEY BASIN,WY,M,N
F,JACKSON,MS,S,Y
F,LAKE LYNN,PA,M,Y
F,PHOENIX,AZ,S,Y
M,RAWLINS,WY,M,N
M,SUPERIOR,WY,S,Y
M,KNOXVILLE,TN,S,N
F,PEWAUKEE,WI,M,Y
M,DELRAY,WV,S,Y
M,BOWDON,ND,S,N
M,GOSHEN,NH,S,Y
M,RUBY VALLEY,NV,M,N
M,KLAMATH FALLS,OR,S,Y
M,MIDDLETOWN,DE,M,Y
F,LA MIRADA,CA,S,N
F,PORTLAND,ME,M,Y
F,KING COVE,AK,S,Y
M,ROCKWELL,NC,M,Y
F,LOWELL,MA,S,N
